text,option_1,option_2,option_3,option_4
Would you consider digging up the grave of a loved one to recover a priceless item that was accidentally buried with them?,"Yes, I wouldn't hesitate, even if it were illegal.","Yes, but only if it could be done legally.","No, absolutely not.",
Might you be annoyed if someone asked you to repeat yourself?,Yes.,No.,It depends...,
"If a significant other requested that you stop shaving or using other means of hair removal, is this something you would seriously consider?",Yes.,No.,I am already totally 'natural' in this way.,
Is it generally acceptable to you for a sex partner to initiate foreplay while you are sleeping?,Yes.,No.,,
What do you usually wear when you sleep?,Pajamas.,Underwear.,Nothing.,Something else.
Do you read fan fiction?,Yes.,No.,I don't know.,
How many albums are there in your music collection?,1 to 100 albums.,101 to 300 albums.,301 or more albums.,I have no music albums.
"Imagine a law is passed that makes one of your favorite activities illegal.  Assuming you believe the activity to be harmless, would you continue pursuing it if there exists a high probability of eventually being caught?",Yes.,No.,,
Would you be willing to lie on a job resume or application if you thought it would get you the job and you were sure you wouldn't get caught?,Yes.,No.,,
Which method do you most often use to acquire products from stores?,I usually pay with cash.,I usually pay with a check or debit card.,I usually pay with credit or a credit card.,I usually steal products rather than pay for them.
"Imagine that after becoming romantically involved with someone, they reveal that they formerly earned a living as a prostitute.  How would you react to this new information?",Positively.,Negatively.,Indifferently.,
Do you enjoy using refrigerated items or ice cubes on your partner during sex?,Yes.,No.,I don't know.,
Are you familiar with the concept of 'sexuality continuum'?,Yes - I basically agree with it.,Yes - I basically disagree with it.,No - I am not familiar with this idea.,
How often were you picked on by other kids your age when you were growing up?,Very often.,Sometimes.,Rarely.,Never.
"If you had to choose one of the following, which best describes the role of sex in your life?",Sex is one of my favorite activities.,Sex is something I enjoy on occasion.,Sex is for procreation.,Sex is a means to getting things that I want.
Have you ever 'regifted' a gift you didn't like?,Yes.,No.,,
"If a significant other requested that you stop wearing antiperspirant or deodorant, is this something you would seriously consider?",Yes.,No.,I am already totally 'natural' in this way.,
Do you crack your knuckles?,Yes.,No.,,
The customer is always right.',True.,False.,,
"If a significant other told you that they had two-way communication with the spirit of a dead relative, would you believe them?",Yes.,No.,,
"Imagine that you and your partner cannot agree on the choice of music.  If you were driving and your partner a passenger, how should the music be chosen?",I would play the music I like.,I would allow my partner to choose the music.,We should take turns choosing the music.,It would be best to keep the stereo off.
Is it okay for men to wear makeup?,Yes,No,,
Have you ever raised an animal for food?,Yes.,No.,,
Have you ever had sex with someone you first met online?,Yes.,No.,,
How do you feel about germs?,Obsessed: I bleach anything I can't trust!,Careful: I wash my hands and cover my sneezes.,Polite: I always wash up when someone's watching.,Unconcerned: I don't actively lick doorknobs.
Would you support assisted suicide/right-to-die legislation?,Yes.,No.,I don't know.,
Which is more offensive: book burning or flag burning?,book burning,flag burning,,
Would you date a recovering (non-drinking) alcoholic?,Yes.,No.,,
Do you believe you've lived past lives?,"Yes, I am confident I have.","No, I do not believe this is possible.","Maybe, but there is no way to really know.",
You stop to pick up a newspaper and notice that the coin-operated dispenser was not completely closed. No one is around so you have the opportunity to take a paper without paying. Which of the following would you do?,Pay for a paper and close the dispenser.,Steal a paper and close the dispenser.,Steal a paper and leave the dispenser open.,Steal all of the remaining papers.
Can two people fall in love without ever meeting in person?,Yes.,No.,,
Which olfactory strategy would you prefer a partner take when on a date with you?,Perfume / aftershave / cologne.,Antiperspirant or subtle deodorant only.,Clean and natural.,Sweatiness is Godliness.
How often do you do things out of spite?,Very often.,Sometimes.,Rarely.,Never.
"If you were offered $5,000,000,000 US dollars to participate right now in a single round of Russian Roulette (1 in 6 chance of immediate death), would you play?",Yes.,No.,,
Do you hang out with the same group of friends almost every time you go out?,Yes.,No.,,
How important is it for you to give expensive gifts on a regular basis when in a relationship?,Very important.,Somewhat important.,Not at all important.,
"Let's say a close friend told you something in confidence, but you subsequently stopped being friends with them. Do you feel free to share their secret with others?",Yes.,No.,Only if they had betrayed me.,
Do you have a good imagination?,Yes.,No.,,
Do you find the idea of shaving a partner's pubic hair exciting?,Yes.,No.,,
Which do you own more of?,Books.,Movies.,Music.,Games.
"Imagine that you receive a document that absolutely proves whether or not God exists.  Upon reading the document and finding the truth, you must decide whether or not to share the proof with the world.  Which would you do?",Share the truth regardless of what it is.,Keep the truth to myself regardless of what it is.,Share only if it proves that God exists.,Share only if it proves that God does not exist.
Which biological parent should have legal decision-making power in abortion decisions?,The mother.,The father.,Both.,Neither.
How important is it that your partner be willing and able to participate in meaningful philosophical conversations?,Extremely important.,Somewhat important.,Not at all important.,
Imagine you overhear the sounds of domestic physical violence coming from someone else's house or apartment.  How would you respond?,Call the police immediately.,Visit the neighbors and attempt to help.,Do nothing - Try to ignore it.,
